T/M,q=0.0,Q=2.5M,q=5M,Kappa=0
0.92,0.449058294296265,0.583802461624146,0.770090818405151,7.15255737304688E-07
0.93,0.435970544815064,0.570872068405151,0.76079249382019,7.15255737304688E-07
0.94,0.423334836959839,0.558302164077759,0.751451253890991,7.15255737304688E-07
0.95,0.411158323287964,0.545888185501099,0.742079973220825,7.15255737304688E-07
0.96,0.399439573287964,0.533645868301392,0.732708692550659,7.15255737304688E-07
0.97,0.388178586959839,0.521588087081909,0.723291635513306,7.15255737304688E-07
0.98,0.377366781234741,0.509729146957398,0.713857412338257,7.15255737304688E-07
0.99,0.366997003555298,0.498081922531128,0.704411745071411,7.15255737304688E-07
1,0.357057809829712,0.486656427383423,0.694961786270142,7.15255737304688E-07
1.01,0.347537755966187,0.475462675094605,0.685510396957398,7.15255737304688E-07
1.02,0.338422536849976,0.464507818222046,0.676064729690552,7.15255737304688E-07
1.03,0.329696416854858,0.453853368759155,0.666630506515503,7.15255737304688E-07
1.04,0.321345090866089,0.443392038345337,0.657190561294556,7.15255737304688E-07
1.05,0.313352823257446,0.433186769485474,0.647793531417847,7.15255737304688E-07
1.06,0.305547952651978,0.42323899269104,0.63842511177063,7.15255737304688E-07
1.07,0.298222303390503,0.413554430007935,0.629088163375855,7.15255737304688E-07
1.08,0.291209936141968,0.404130220413208,0.619768381118774,7.15255737304688E-07
1.09,0.284495115280151,0.39496922492981,0.610512971878052,7.15255737304688E-07
1.1,0.278063535690308,0.38606858253479,0.601304769515991,7.15255737304688E-07
1.11,0.271902322769165,0.377538442611694,0.592150926589966,7.15255737304688E-07
1.12,0.265998601913452,0.369152784347534,0.58303713798523,7.15255737304688E-07
1.13,0.260336637496948,0.36102032661438,0.574004888534546,7.15255737304688E-07
1.14,0.254904985427856,0.353075265884399,0.565041303634644,7.15255737304688E-07
1.15,0.24985671043396,0.345436334609985,0.556149244308472,7.15255737304688E-07
1.16,0.244849920272827,0.338036298751831,0.547318696975708,7.15255737304688E-07
1.17,0.240039110183716,0.330869436264038,0.538585424423218,7.15255737304688E-07
1.18,0.235415697097778,0.323931455612183,0.529939413070679,7.15255737304688E-07
1.19,0.230969667434692,0.317215204238892,0.521382093429565,7.15255737304688E-07
1.2,0.226691007614136,0.310240030288696,0.512917757034302,7.15255737304688E-07
1.21,0.22257399559021,0.303971529006958,0.504550695419312,7.15255737304688E-07
1.22,0.218607187271118,0.297907590866089,0.496283769607544,7.15255737304688E-07
1.23,0.214786291122437,0.29239296913147,0.488119840621948,7.15255737304688E-07
1.24,0.211102724075317,0.286695241928101,0.480063199996948,7.15255737304688E-07
1.25,0.207549333572388,0.281183481216431,0.472115278244019,7.15255737304688E-07
1.26,0.204121828079224,0.275906324386597,0.464278936386108,7.15255737304688E-07
1.27,0.200811624526978,0.270745038986206,0.456557035446167,7.15255737304688E-07
1.28,0.1976158618927,0.26574969291687,0.448949575424194,7.15255737304688E-07
1.29,0.194527387619019,0.260915994644165,0.441462278366089,7.15255737304688E-07
1.3,0.191540479660034,0.256236791610718,0.434093713760376,7.15255737304688E-07
1.31,0.188653707504272,0.251707792282105,0.42684531211853,7.15255737304688E-07
1.32,0.185858488082886,0.247323274612427,0.419612646102905,7.15255737304688E-07
1.33,0.183154821395874,0.243077516555786,0.412613153457642,7.15255737304688E-07
1.34,0.180535554885864,0.238920450210571,0.405738115310669,7.15255737304688E-07
1.35,0.177997827529907,0.234939336776733,0.39896035194397,7.15255737304688E-07
1.36,0.175538778305054,0.231215715408325,0.392338514328003,7.15255737304688E-07
1.37,0.17315411567688,0.227473497390747,0.385826826095581,7.15255737304688E-07
1.38,0.170842409133911,0.223847150802612,0.379459619522095,7.15255737304688E-07
1.39,0.168597936630249,0.220329523086548,0.373218297958374,7.15255737304688E-07
1.4,0.166420698165894,0.216919183731079,0.367102861404419,7.15255737304688E-07
1.41,0.164304971694946,0.213611841201782,0.361109018325806,7.15255737304688E-07
1.42,0.162250757217407,0.210401773452759,0.355241060256958,7.15255737304688E-07
1.43,0.160255193710327,0.207287549972534,0.349493265151978,7.15255737304688E-07
1.44,0.158315420150757,0.204264879226685,0.343841314315796,7.15255737304688E-07
1.45,0.156428575515747,0.201329469680786,0.338329553604126,7.15255737304688E-07
1.46,0.154593229293823,0.19851279258728,0.33300518989563,7.15255737304688E-07
1.47,0.152807950973511,0.195743322372437,0.327719449996948,7.15255737304688E-07
1.48,0.151071310043335,0.193052530288696,0.32254958152771,7.15255737304688E-07
1.49,0.149379014968872,0.19043755531311,0.31749415397644,7.15255737304688E-07
1.5,0.147732496261597,0.187894105911255,0.31255030632019,7.15255737304688E-07
1.51,0.146127462387085,0.18542218208313,0.307719469070435,7.15255737304688E-07
1.52,0.144563913345337,0.183018922805786,0.302995920181274,7.15255737304688E-07
1.53,0.143038988113403,0.1806800365448,0.298288106918335,7.15255737304688E-07
1.54,0.141552686691284,0.178404092788696,0.293780565261841,7.15255737304688E-07
1.55,0.140103578567505,0.176189661026001,0.289376020431519,7.15255737304688E-07
1.56,0.138690233230591,0.174016714096069,0.285071611404419,7.15255737304688E-07
1.57,0.137309789657593,0.171918153762817,0.280868768692017,7.15255737304688E-07
1.58,0.135963678359985,0.169873952865601,0.276761770248413,7.15255737304688E-07
1.59,0.134649038314819,0.16788125038147,0.272750616073608,7.15255737304688E-07
1.6,0.133365869522095,0.165940046310425,0.268832445144653,7.15255737304688E-07
1.61,0.132112741470337,0.164034605026245,0.265007257461548,7.15255737304688E-07
1.62,0.130888223648071,0.162190675735474,0.261269330978394,7.15255737304688E-07
1.63,0.129690885543823,0.16039252281189,0.25776743888855,7.15255737304688E-07
1.64,0.128522157669067,0.158638715744019,0.254201173782349,7.15255737304688E-07
1.65,0.12737774848938,0.156926393508911,0.250785112380981,7.15255737304688E-07
1.66,0.126259088516235,0.155256986618042,0.247381925582886,7.15255737304688E-07
1.67,0.125166177749634,0.153627634048462,0.244057416915894,7.15255737304688E-07
1.68,0.124096155166626,0.152036905288696,0.240808725357056,7.15255737304688E-07
1.69,0.123049020767212,0.150483369827271,0.237637281417847,7.15255737304688E-07
1.7,0.122024774551392,0.14896559715271,0.234538793563843,7.15255737304688E-07
1.71,0.12102198600769,0.147483587265015,0.231513261795044,7.15255737304688E-07
1.72,0.120040655136108,0.14603590965271,0.228556394577026,7.15255737304688E-07
1.73,0.119079351425171,0.144621133804321,0.225666761398315,7.15255737304688E-07
1.74,0.118138074874878,0.143237829208374,0.222845792770386,7.15255737304688E-07
1.75,0.117215394973755,0.141885995864868,0.220087766647339,7.15255737304688E-07
1.76,0.116312742233276,0.140564203262329,0.217392683029175,7.15255737304688E-07
1.77,0.115427255630493,0.139271020889282,0.214759111404419,7.15255737304688E-07
