T/M,2m,M_sigma,M_phi
0.96,0.798879146575928,1.26485729217529,0.91058669090271
0.97,0.776357173919678,1.26997470855713,0.95819296836853
0.98,0.754733562469482,1.27658557891846,0.994930410385132
0.99,0.733994007110596,1.28457927703857,1.02771687507629
1,0.714115619659424,1.29383754730225,1.05837788581848
1.01,0.695075511932373,1.30433940887451,1.08755869865418
1.02,0.676845073699951,1.31589794158936,1.11584458351135
1.03,0.659392833709717,1.32848262786865,1.13593668937683
1.04,0.642690181732178,1.3419885635376,1.17043681144714
1.05,0.626705646514893,1.35631465911865,1.19705281257629
1.06,0.611095905303955,1.37125682830811,1.22323756217957
1.07,0.596444606781006,1.38702869415283,1.2491726398468
1.08,0.582419872283936,1.40341854095459,1.27476563453674
1.09,0.568990230560303,1.42034816741943,1.30019001960754
1.1,0.556127071380615,1.43780612945557,1.32537121772766
1.11,0.54380464553833,1.45568943023682,1.35035786628723
1.12,0.531997203826904,1.47396373748779,1.37515320777893
1.13,0.520673274993897,1.49260234832764,1.39980101585388
1.14,0.509809970855713,1.51156711578369,1.424272108078
1.15,0.49971342086792,1.53091144561768,1.44864592552185
1.16,0.489699840545654,1.55039119720459,1.47282681465149
1.17,0.480078220367432,1.57008647918701,1.49689908027649
1.18,0.470831394195557,1.59000110626221,1.52083353996277
1.19,0.461939334869385,1.61006641387939,1.54466910362244
1.2,0.453382015228272,1.63029384613037,1.56838307380676
1.21,0.44514799118042,1.65063571929932,1.59195761680603
1.22,0.437214374542236,1.67109775543213,1.61545758247375
1.23,0.429572582244873,1.69161891937256,1.63880190849304
1.24,0.422205448150635,1.71228313446045,1.66207814216614
1.25,0.415098667144775,1.73301029205322,1.68524899482727
1.26,0.408243656158447,1.75376415252686,1.70829501152039
1.27,0.401623249053955,1.77459049224854,1.73124213218689
1.28,0.3952317237854,1.79544925689697,1.75412602424622
1.29,0.389054775238037,1.81632137298584,1.77687697410583
1.3,0.383080959320068,1.83723545074463,1.7995614528656
