Phi/M,mu-0,mu-0.9M,mu-1M,mu-1.1M
1.01,-0.107776489699331,-0.107776490241593,-0.107787489219742,-0.109174802877119
1.02,-0.10852085833498,-0.108520858536424,-0.108525154374492,-0.109644569328442
1.03,-0.109242057989789,-0.109242058064615,-0.109243686175382,-0.110121075968203
1.04,-0.109939647804565,-0.109939647832356,-0.109940257192488,-0.110604497715102
1.05,-0.110613188829974,-0.110613188840295,-0.110613415794003,-0.111094975198744
1.06,-0.111262244026544,-0.111262244030377,-0.11126232839874,-0.111592552619281
1.07,-0.111886378264659,-0.111886378266083,-0.111886409605742,-0.11209701343126
1.08,-0.112485158324566,-0.112485158325094,-0.112485169962731,-0.11260747203848
1.09,-0.113058152896367,-0.113058152896563,-0.113058157217316,-0.113121512271448
1.1,-0.113604932580027,-0.1136049325801,-0.113604934184097,-0.113634017482632
1.11,-0.114125069885368,-0.114125069885395,-0.114125070480793,-0.114137147355831
1.12,-0.114618139232073,-0.114618139232083,-0.114618139453074,-0.114622852297276
1.13,-0.115083716949683,-0.115083716949687,-0.115083717031704,-0.11508550168237
1.14,-0.115521381277598,-0.1155213812776,-0.115521381308037,-0.11552204870121
1.15,-0.11593071236508,-0.115930712365081,-0.115930712376375,-0.11593096074064
1.16,-0.116311292271247,-0.116311292271247,-0.116311292275438,-0.116311384528673
1.17,-0.116662704965078,-0.116662704965078,-0.116662704966633,-0.116662739208109
1.18,-0.116984536325411,-0.116984536325411,-0.116984536325988,-0.116984549031298
1.19,-0.117276374140944,-0.117276374140944,-0.117276374141158,-0.117276378854707
1.2,-0.117537808110234,-0.117537808110234,-0.117537808110313,-0.117537809858815
1.21,-0.117768429841695,-0.117768429841695,-0.117768429841725,-0.117768430490283
1.22,-0.117967832853604,-0.117967832853604,-0.117967832853615,-0.117967833094163
1.23,-0.118135612574096,-0.118135612574096,-0.1181356125741,-0.118135612663312
1.24,-0.118271366341164,-0.118271366341164,-0.118271366341166,-0.11827136637425
1.25,-0.118374693402662,-0.118374693402662,-0.118374693402662,-0.118374693414931
1.26,-0.118445194916302,-0.118445194916302,-0.118445194916302,-0.118445194920851
1.27,-0.118482473949656,-0.118482473949656,-0.118482473949656,-0.118482473951342
1.28,-0.118486135480155,-0.118486135480155,-0.118486135480155,-0.11848613548078
1.29,-0.118455786395091,-0.118455786395091,-0.118455786395091,-0.118455786395322
1.3,-0.118391035491612,-0.118391035491612,-0.118391035491612,-0.118391035491698
1.31,-0.118291493476728,-0.118291493476728,-0.118291493476728,-0.11829149347676
1.32,-0.118156772967308,-0.118156772967308,-0.118156772967308,-0.11815677296732
1.33,-0.117986488490079,-0.117986488490079,-0.117986488490079,-0.117986488490084
1.34,-0.117780256481629,-0.117780256481629,-0.117780256481629,-0.117780256481631
1.35,-0.117537695288404,-0.117537695288404,-0.117537695288404,-0.117537695288405
1.36,-0.11725842516671,-0.11725842516671,-0.11725842516671,-0.11725842516671
1.37,-0.116942068282711,-0.116942068282711,-0.116942068282711,-0.116942068282711
1.38,-0.116588248712433,-0.116588248712433,-0.116588248712433,-0.116588248712433
1.39,-0.116196592441759,-0.116196592441759,-0.116196592441759,-0.116196592441759
1.4,-0.115766727366432,-0.115766727366432,-0.115766727366432,-0.115766727366432
1.41,-0.115298283292055,-0.115298283292055,-0.115298283292055,-0.115298283292055
1.42,-0.114790891934088,-0.114790891934088,-0.114790891934088,-0.114790891934088
1.43,-0.114244186917854,-0.114244186917854,-0.114244186917854,-0.114244186917854
1.44,-0.113657803778532,-0.113657803778532,-0.113657803778532,-0.113657803778532
1.45,-0.113031379961163,-0.113031379961163,-0.113031379961163,-0.113031379961163
1.46,-0.112364554820644,-0.112364554820644,-0.112364554820644,-0.112364554820644
1.47,-0.111656969621735,-0.111656969621735,-0.111656969621735,-0.111656969621735
1.48,-0.110908267539053,-0.110908267539053,-0.110908267539053,-0.110908267539053
1.49,-0.110118093657074,-0.110118093657074,-0.110118093657074,-0.110118093657074
1.5,-0.109286094970136,-0.109286094970136,-0.109286094970136,-0.109286094970136
1.51,-0.108411920382433,-0.108411920382433,-0.108411920382433,-0.108411920382433
1.52,-0.107495220708021,-0.107495220708021,-0.107495220708021,-0.107495220708021
1.53,-0.106535648670813,-0.106535648670813,-0.106535648670813,-0.106535648670813
1.54,-0.105532858904583,-0.105532858904583,-0.105532858904583,-0.105532858904583
1.55,-0.104486507952965,-0.104486507952965,-0.104486507952965,-0.104486507952965
1.56,-0.103396254269449,-0.103396254269449,-0.103396254269449,-0.103396254269449
1.57,-0.102261758217388,-0.102261758217388,-0.102261758217388,-0.102261758217388
1.58,-0.101082682069992,-0.101082682069992,-0.101082682069992,-0.101082682069992
1.59,-0.0998586900103313,-0.0998586900103313,-0.0998586900103313,-0.0998586900103313
1.6,-0.0985894481313354,-0.0985894481313354,-0.0985894481313354,-0.0985894481313354
1.61,-0.0972746244357929,-0.0972746244357929,-0.0972746244357929,-0.0972746244357929
1.62,-0.0959138888363519,-0.0959138888363519,-0.0959138888363519,-0.0959138888363519
1.63,-0.0945069131555197,-0.0945069131555197,-0.0945069131555197,-0.0945069131555197
1.64,-0.093053371125663,-0.093053371125663,-0.093053371125663,-0.093053371125663
1.65,-0.0915529383890076,-0.0915529383890076,-0.0915529383890076,-0.0915529383890076
1.66,-0.090005292497639,-0.090005292497639,-0.090005292497639,-0.090005292497639
1.67,-0.0884101129135017,-0.0884101129135017,-0.0884101129135017,-0.0884101129135017
1.68,-0.0867670810083998,-0.0867670810083998,-0.0867670810083998,-0.0867670810083998
1.69,-0.0850758800639964,-0.0850758800639964,-0.0850758800639964,-0.0850758800639964
1.7,-0.083336195271814,-0.083336195271814,-0.083336195271814,-0.083336195271814
1.71,-0.0815477137332346,-0.0815477137332346,-0.0815477137332346,-0.0815477137332346
1.72,-0.0797101244594992,-0.0797101244594992,-0.0797101244594992,-0.0797101244594992
1.73,-0.0778231183717087,-0.0778231183717087,-0.0778231183717087,-0.0778231183717087
1.74,-0.0758863883008226,-0.0758863883008226,-0.0758863883008226,-0.0758863883008226
1.75,-0.0738996289876603,-0.0738996289876603,-0.0738996289876603,-0.0738996289876603
1.76,-0.0718625370829002,-0.0718625370829002,-0.0718625370829002,-0.0718625370829002
1.77,-0.0697748111470797,-0.0697748111470797,-0.0697748111470797,-0.0697748111470797
