Omega^2,q-0,q-0.5M,q-1M,q-1.2M
0.831763771102671,0.812317813019582,0.774114815121225,0.1036045796902,0.214107532992792
0.8464,0.826992852506933,0.767187022436414,0.0966243263383443,0.212506514372657
0.8649,0.845335092009986,0.766919967893921,0.0871157248352667,0.210314540239769
0.8836,0.863788213346502,0.772402211039442,0.0766440355817916,0.207911016439074
0.9025,0.882388679035438,0.780778381830182,0.0650776045007451,0.205285879908449
0.91201083935591,0.891693508063858,0.78596288177836,0.0588481504785557,0.20388619206177
0.9216,0.901057565087879,0.791650000618857,0.0522721114793625,0.202427091259021
0.9409,0.919567461795524,0.804289112724056,0.0381092965547273,0.199315081859489
0.9604,0.938291307837549,0.818156399827021,0.0226805005474084,0.195942100318407
0.9801,0.956749132516676,0.832889890274485,0.00724843464318553,0.192289478026625
1,0.975070666114102,0.848446265743825,0,0.188339207718154
1.0201,0.993600347137621,0.864574990103331,0,0.184072417349975
1.0404,1.01189785013414,0.880674521796678,0,0.179469621067045
1.0609,1.03003991523731,0.897953527540563,0,0.1744982098192
1.0816,1.04810988379136,0.915141515721289,0,0.169141105824168
1.09647819614319,1.06083324549016,0.927462818519068,0,0.16505439146453
1.1025,1.06600505814267,0.932491079677193,0,0.163345931495351
1.1236,1.08361480770437,0.950075020769298,0,0.157097164462638
1.1449,1.10112103987453,0.967492130987868,0,0.150339183616138
1.1664,1.11828020084424,0.985110653239404,0,0.143034590900216
1.1881,1.13531077439046,1.0027369638097,0,0.135125127817942
1.20226443461741,1.14628716709046,1.01407954112355,0,0.129641244960719
1.21,1.15210376674691,1.02177798019712,0,0.126536477583288
1.21,1.15210376674714,1.02177798019788,0,0.126536477583201
1.2321,1.16864139164396,1.03778413901325,0,0.117202969945136
1.2544,1.18500306974051,1.05521410712503,0,0.107031059588344
1.2769,1.20093185479761,1.07247911649518,0,0.0959196410876617
1.2996,1.21672776285214,1.08959064003593,0,0.0837467512707457
1.31825673855641,1.22934792070698,1.10344812864713,0,0.0729454436546216
1.3225,1.23212615694491,1.10654314358159,0,0.0703825284943481
1.3456,1.24735036608576,1.12330996449391,0,0.0557024518010278
1.3689,1.26222758533443,1.13989091385531,0,0.0396647336028648
1.3924,1.27687692835978,1.15625214847103,0,0.0225900071252613
1.4161,1.2911478548517,1.17235763093013,0,0.00642514378538448
1.44,1.30508129414247,1.18822449634065,0,0
1.44543977074593,1.3081678084163,1.19177534076858,0,0
1.4641,1.31873445816848,1.20379732674841,0,0
1.4884,1.33214406934917,1.2191471285505,0,0
1.5129,1.34528419203321,1.23428617536262,0,0
1.5376,1.35797212952658,1.24908106856643,0,0
1.5625,1.37043465040654,1.26357607733182,0,0
1.58419948282449,1.38108532239931,1.27592654816151,3.14159265358979,0
1.58489319246111,1.38134513512406,1.27627709423395,2.104246976091,0
1.5876,1.38252062491069,1.2778422069622,2.01986171851418,0
1.6129,1.39456971902232,1.29172180876091,1.44053556453617,0
1.6384,1.40615548839722,1.30539023841401,1.30658511037342,0
1.6641,1.41752344867366,1.3186597735381,1.24816784496957,0
1.69,1.42856865187504,1.33179307894338,1.21922316808042,0
1.73780082874938,1.44800898705264,1.35485552155084,1.20057434210943,0
1.90546071796325,1.50750851507771,1.42613569721586,1.23938520746599,0
1.96,1.52427787123272,1.44643138504558,1.26148596475332,0
1.9881,1.53255653249656,1.45636281404855,1.27325815498443,0
2.0164,1.54056958805576,1.46601789127071,1.28528829984352,0
2.0449,1.54829232473681,1.47548674406249,1.29890685434478,3.14159265358979
2.05959446522474,1.55223670308393,1.48011130768699,1.30360634032335,3.14159265358979
2.0736,1.55586050320545,1.48463232772912,1.30950398667505,1.85497985775134
2.08929613085404,1.55998536791844,1.48949277010279,1.31612080147891,1.65562710028799
2.1025,1.56322612563443,1.49361263463213,1.32156763721433,1.56496907809573
2.1316,1.57039013378822,1.50226282049777,1.33356574719039,1.45542434646464
2.1609,1.57739158766698,1.51075262916853,1.34544788262048,1.40081688499623
