Omega/M,T-0.3M,T-0.5M,T-0.7M,T-0.9M,T-1.1M,T-1.3M,T-1.5M
0.0190546071796325,0.0019661034630105,0.007660550337515,0.0106622612019948,0.0093930073286358,0.00654921449749019,0.00457600527072034,0.00339535591059562
0.0194984459975805,0.00201193526872146,0.00783922372588482,0.0109112643115483,0.00961250787153397,0.00670202413961756,0.00468272375194006,0.00347450555018459
0.0199526231496888,0.00205869163927873,0.00802201637347757,0.0111664110967707,0.00983705102554271,0.00685847173624389,0.004791939450941,0.00355550895044438
0.0204173794466953,0.0021065320836219,0.00820938492807215,0.0114276119191169,0.010066849624358,0.00701852909798717,0.00490371885690007,0.00363840800181953
0.0208929613085404,0.00215564054874519,0.00840089857151336,0.0116947527298166,0.0103019484226418,0.00718238837211351,0.00501810233020034,0.00372323660744147
0.0213796208950223,0.00220589715008331,0.00859744650106233,0.0119680389855258,0.0105428603565386,0.00735011215589322,0.00513515848967578,0.00381004571624076
0.0218776162394955,0.0022573291515444,0.00879788685406447,0.0122477265577547,0.0107891731435061,0.00752167223039806,0.00525496337713987,0.00389888957888787
0.0223872113856834,0.00230996452917792,0.00900346111727327,0.0125344789577767,0.01104146700176,0.00769733823102757,0.00537756786581805,0.00398980308931695
0.0229086765276777,0.0023638320020598,0.00921390016216651,0.0128275654847724,0.011299653339264,0.00787708526113445,0.00550303572836254,0.00408284326024834
0.0234422881531992,0.00241870893691892,0.00942898968538093,0.0131278203087079,0.0115634968245511,0.00806120422057988,0.0056315472947653,0.00417812220136262
0.0239883291901949,0.00247511536189533,0.00964874660121291,0.0134346055968027,0.0118344043425606,0.00824938927289109,0.00576285605687096,0.00427549099903871
0.0245470891568503,0.00253284338133615,0.0098746243737715,0.0137492076440288,0.0121113027525147,0.00844211110449156,0.00589735642424439,0.00437521597128839
0.0251188643150958,0.00259179563554408,0.0101059515140786,0.0140714608375035,0.0123946603657385,0.00863933802604245,0.0060349918831144,0.0044772617178943
0.0257039578276886,0.00265205431063867,0.0103408693298743,0.0144007373338811,0.0126849559540102,0.00884124452405567,0.00617585888788858,0.00458169393280422
0.0263026799189538,0.00271392477748883,0.0105835171345077,0.0147382069138787,0.0129820105875161,0.00904782551528459,0.00632003347369997,0.00468857784253757
0.0269153480392692,0.00277711852790058,0.0108308387939261,0.0150832780774381,0.0132855772786971,0.00925935085958168,0.00646758512524753,0.00479794569081878
0.0275422870333817,0.002841573001283,0.0110835054083761,0.0154366812866134,0.0135968389582115,0.00947582204500147,0.00661858196360407,0.00490988146570023
0.0281838293126445,0.00290788008434233,0.0113434198800019,0.0157987316873141,0.0139152322626124,0.00969733881263543,0.00677313163848891,0.00502444147289563
0.0288403150312661,0.00297574718050262,0.0116085221075738,0.0161688019052892,0.0142415338346845,0.00992413758967149,0.00693131218711178,0.00514166754405411
