Phi/M,mu-0,mu-0.9M,mu-1M,mu-1.1M
-1.48,-0.0428282675390529,-0.0428282675390529,-0.0428282675390529,-0.0428282675390529
-1.47,-0.0440369696217352,-0.0440369696217352,-0.0440369696217352,-0.0440369696217352
-1.46,-0.0452045548206444,-0.0452045548206444,-0.0452045548206444,-0.0452045548206444
-1.45,-0.0463313799611629,-0.0463313799611629,-0.0463313799611629,-0.0463313799611629
-1.44,-0.0474178037785325,-0.0474178037785325,-0.0474178037785325,-0.0474178037785325
-1.43,-0.0484641869178542,-0.0484641869178542,-0.0484641869178542,-0.0484641869178542
-1.42,-0.0494708919340884,-0.0494708919340884,-0.0494708919340884,-0.0494708919340884
-1.41,-0.0504382832920547,-0.0504382832920547,-0.0504382832920547,-0.0504382832920547
-1.4,-0.0513667273664323,-0.0513667273664323,-0.0513667273664323,-0.0513667273664323
-1.39,-0.0522565924417592,-0.0522565924417592,-0.0522565924417592,-0.0522565924417592
-1.38,-0.0531082487124333,-0.0531082487124333,-0.0531082487124333,-0.0531082487124333
-1.37,-0.0539220682827114,-0.0539220682827114,-0.0539220682827114,-0.0539220682827115
-1.36,-0.0546984251667098,-0.0546984251667098,-0.0546984251667098,-0.05469842516671
-1.35,-0.0554376952884042,-0.0554376952884042,-0.0554376952884042,-0.0554376952884048
-1.34,-0.0561402564816293,-0.0561402564816293,-0.0561402564816293,-0.0561402564816309
-1.33,-0.0568064884900794,-0.0568064884900794,-0.0568064884900794,-0.0568064884900838
-1.32,-0.0574367729673081,-0.0574367729673081,-0.0574367729673081,-0.05743677296732
-1.31,-0.0580314934767282,-0.0580314934767282,-0.0580314934767282,-0.0580314934767601
-1.3,-0.0585910354916118,-0.0585910354916118,-0.0585910354916118,-0.0585910354916978
-1.29,-0.0591157863950906,-0.0591157863950906,-0.0591157863950906,-0.0591157863953224
-1.28,-0.0596061354801551,-0.0596061354801551,-0.0596061354801551,-0.0596061354807805
-1.27,-0.0600624739496557,-0.0600624739496557,-0.0600624739496558,-0.0600624739513425
-1.26,-0.0604851949163017,-0.0604851949163017,-0.0604851949163019,-0.0604851949208509
-1.25,-0.0608746934026618,-0.0608746934026618,-0.0608746934026623,-0.0608746934149306
-1.24,-0.0612313663411642,-0.0612313663411642,-0.0612313663411657,-0.0612313663742496
-1.23,-0.0615556125740962,-0.0615556125740962,-0.0615556125741002,-0.0615556126633123
-1.22,-0.0618478328536045,-0.0618478328536045,-0.0618478328536154,-0.061847833094163
-1.21,-0.0621084298416952,-0.0621084298416952,-0.0621084298417246,-0.0621084304902831
-1.2,-0.0623378081102335,-0.0623378081102336,-0.0623378081103129,-0.0623378098588146
-1.19,-0.0625363741409443,-0.0625363741409443,-0.0625363741411583,-0.0625363788547068
-1.18,-0.0627045363254114,-0.0627045363254114,-0.0627045363259883,-0.0627045490312978
-1.17,-0.062842704965078,-0.0628427049650781,-0.062842704966633,-0.0628427392081094
-1.16,-0.0629512922712469,-0.0629512922712471,-0.062951292275438,-0.0629513845286727
-1.15,-0.06303071236508,-0.0630307123650805,-0.0630307123763751,-0.0630309607406399
-1.14,-0.0630813812775985,-0.0630813812775999,-0.0630813813080371,-0.0630820487012099
-1.13,-0.0631037169496828,-0.0631037169496866,-0.0631037170317041,-0.0631055016823704
-1.12,-0.063098139232073,-0.0630981392320831,-0.063098139453074,-0.063102852297276
-1.11,-0.0630650698853683,-0.0630650698853954,-0.0630650704807933,-0.0630771473558312
-1.1,-0.0630049325800271,-0.0630049325800999,-0.0630049341840973,-0.063034017482632
-1.09,-0.0629181528963672,-0.0629181528965634,-0.0629181572173162,-0.0629815122714485
-1.08,-0.0628051583245659,-0.0628051583250943,-0.0628051699627311,-0.0629274720384803
-1.07,-0.0626663782646595,-0.0626663782660827,-0.0626664096057418,-0.0628770134312596
-1.06,-0.0625022440265438,-0.0625022440303767,-0.0625023283987404,-0.0628325526192811
-1.05,-0.062313188829974,-0.0623131888402955,-0.0623134157940028,-0.0627949751987441
-1.04,-0.0620996478045645,-0.0620996478323563,-0.0621002571924884,-0.0627644977151023
-1.03,-0.0618620579897889,-0.0618620580646153,-0.0618636861753815,-0.0627410759682029
-1.02,-0.0616008583349804,-0.0616008585364237,-0.0616051543744924,-0.0627245693284418
-1.01,-0.0613164896993313,-0.0613164902415933,-0.0613274892197422,-0.062714802877119
-1,-0.0610093948518932,-0.0610093963114526,-0.0610358617606202,-0.0627115903651682
-0.99,-0.0606800184715773,-0.0606800223997127,-0.0607376282595235,-0.0627147426222792
-0.98,-0.0603288071471536,-0.0603288177175977,-0.0604399357012794,-0.0627240706268945
-0.97,-0.0599562093772521,-0.0599562378163854,-0.0601474411583129,-0.0627393866255938
-0.96,-0.0595626755703615,-0.0595627520573289,-0.0598623414201357,-0.0627605045410309
-0.95,-0.0591486580448302,-0.0591488635973279,-0.0595854411016024,-0.0627872401205607
-0.94,-0.0587146110288657,-0.058715162381102,-0.0593169370573636,-0.0628194109903816
-0.93,-0.0582609906605349,-0.0582624622990326,-0.0590567896310269,-0.0628568366752561
-0.92,-0.0577882549877641,-0.0577921340015851,-0.0588048718976118,-0.0628993386056926
-0.91,-0.0572968639683387,-0.0573067855386978,-0.0585610260472795,-0.0629467401205617
-0.9,-0.0567872794699037,-0.0568111283847527,-0.0583250841968416,-0.0629988664680478
-0.89,-0.0562599652699632,-0.0563118254707745,-0.0580968760049309,-0.0630555448059963
-0.88,-0.0557153870558807,-0.0558153304502178,-0.0578762314493708,-0.0631166042020396
-0.87,-0.055154012424879,-0.0553258408204004,-0.0576629818388342,-0.0631818756336433
-0.86,-0.0545763108840402,-0.0548453339908512,-0.0574569601811403,-0.0632511919881226
-0.85,-0.0539827538503058,-0.0543745335950801,-0.0572580013172972,-0.0633243880626484
-0.84,-0.0533738146504764,-0.0539136167969345,-0.0570659419702794,-0.06340130056425
-0.83,-0.0527499685212123,-0.0534625484837823,-0.0568806207627737,-0.0634817681098153
-0.82,-0.0521116926090327,-0.0530212154352668,-0.056701878223636,-0.0635656312260914
-0.81,-0.0514594659703164,-0.0525894769504102,-0.0565295567902395,-0.0636527323496846
-0.8,-0.0507937695713014,-0.0521671835119023,-0.0563635008093285,-0.0637429158270608
-0.79,-0.0501150862880851,-0.0517541836073185,-0.0562035565373293,-0.0638360279145447
-0.78,-0.049423900906624,-0.0513503262138634,-0.0560495721404631,-0.0639319167783208
-0.77,-0.0487207001227343,-0.0509554617023031,-0.0559013976947868,-0.0640304324944326
-0.76,-0.0480059725420911,-0.0505694421656219,-0.0557588851862083,-0.0641314270487831
-0.75,-0.0472802086802291,-0.0501921215384815,-0.0556218885104915,-0.0642347543371344
-0.74,-0.0465439009625422,-0.0498233556406321,-0.0554902634732586,-0.0643402701651083
-0.73,-0.0457975437242836,-0.0494630021926852,-0.0553638677899907,-0.0644478322481854
-0.72,-0.0450416332105659,-0.049110920821844,-0.0552425610860282,-0.0645573002117061
-0.71,-0.0442766675763611,-0.0487669730639842,-0.0551262048965705,-0.0646685355908698
-0.7,-0.0435031468865002,-0.0484310223644102,-0.0550146626666765,-0.0647814018307354
-0.69,-0.0427215731156738,-0.0481029340781292,-0.0549077997512643,-0.064895764286221
-0.68,-0.0419324501484317,-0.0477825754699509,-0.0548054834151115,-0.065011490222104
-0.67,-0.0411362837791831,-0.0474698157145239,-0.0547075828328547,-0.0651284488130213
-0.66,-0.0403335817121965,-0.0471645258963485,-0.0546139690889902,-0.065246511143469
-0.65,-0.0395248535615995,-0.0468665790097816,-0.0545245151778732,-0.0653655502078024
-0.64,-0.0387106108513793,-0.0465758499590386,-0.0544390960037185,-0.0654854409102362
-0.63,-0.0378913670153824,-0.0462922155581936,-0.0543575883806002,-0.0656060600648447
-0.62,-0.0370676373973144,-0.0460155545311802,-0.0542798710324516,-0.065727286395561
-0.61,-0.0362399392507405,-0.0457457475117911,-0.0542058245930655,-0.0658490005361778
-0.6,-0.0354087917390849,-0.0454826770436781,-0.0541353316060938,-0.0659710850303473
-0.59,-0.0345747159356313,-0.0452262275803528,-0.0540682765250478,-0.0660934243315807
-0.58,-0.0337382348235228,-0.0449762854851856,-0.0540045457132981,-0.0662159048032485
-0.57,-0.0328998732957617,-0.0447327390314066,-0.0539440274440748,-0.0663384147185809
-0.56,-0.0320601581552096,-0.044495478402105,-0.053886611900467,-0.066460844260667
-0.55,-0.0312196181145874,-0.0442643956902294,-0.0538321911754234,-0.0665830855224554
-0.54,-0.0303787837964755,-0.0440393848985877,-0.0537806592717519,-0.066705032506754
-0.53,-0.0295381877333133,-0.0438203419398471,-0.0537319121021196,-0.0668265811262301
-0.52,-0.0286983643673999,-0.0436071646365342,-0.0536858474890532,-0.0669476292034101
-0.51,-0.0278598500508934,-0.0433997527210347,-0.0536423651649384,-0.06706807647068
-0.5,-0.0270231830458114,-0.043198007835594,-0.0536013667720205,-0.0671878245702849
-0.49,-0.0261889035240307,-0.0430018335323164,-0.0535627558624038,-0.0673067770543292
-0.48,-0.0253575535672875,-0.0428111352731657,-0.0535264378980523,-0.0674248393847768
-0.47,-0.0245296771671772,-0.0426258204299652,-0.0534923202507891,-0.0675419189334509
-0.46,-0.0237058202251548,-0.0424457982843972,-0.0534603122022965,-0.0676579249820338
-0.45,-0.0228865305525343,-0.0422709800280034,-0.0534303249441164,-0.0677727687220673
-0.44,-0.0220723578704891,-0.042101278762185,-0.0534022715776498,-0.0678863632549525
-0.43,-0.021263853810052,-0.0419366094982023,-0.053376067114157,-0.0679986235919497
-0.42,-0.0204615719121151,-0.0417768891571751,-0.0533516284747579,-0.0681094666541787
-0.41,-0.0196660676274297,-0.0416220365700823,-0.0533288744904314,-0.0682188112726185
-0.4,-0.0188778983166067,-0.0414719724777624,-0.0533077259020159,-0.0683265781881074
-0.39,-0.0180976232501159,-0.0413266195309129,-0.053288105360209,-0.0684326900513431
-0.38,-0.0173258036082868,-0.0411859022900908,-0.0532699374255677,-0.0685370714228825
-0.37,-0.016563002481308,-0.0410497472257125,-0.0532531485685083,-0.0686396487731421
-0.36,-0.0158097848692274,-0.0409180827180535,-0.0532376671693064,-0.0687403504823972
-0.35,-0.0150667176819525,-0.0407908390572488,-0.0532234235180969,-0.068839106840783
-0.34,-0.0143343697392497,-0.0406679484432926,-0.0532103498148741,-0.0689358500482936
-0.33,-0.013613311770745,-0.0405493449860384,-0.0531983801694915,-0.0690305142147826
-0.32,-0.0129041164159237,-0.0404349647051992,-0.053187450601662,-0.0691230353599628
-0.31,-0.0122073582241303,-0.0403247455303471,-0.0531774990409579,-0.0692133514134065
-0.3,-0.0115236136545687,-0.0402186273009137,-0.0531684653268105,-0.0693014022145452
-0.29,-0.0108534610763021,-0.0401165517661898,-0.0531602912085108,-0.0693871295126697
-0.28,-0.010197480768253,-0.0400184625853254,-0.0531529203452088,-0.0694704769669302
-0.27,-0.0095562549192032,-0.0399243053273302,-0.0531462983059141,-0.069551390146336
-0.26,-0.00893036762779396,-0.0398340274710728,-0.0531403725694955,-0.069629816529756
-0.25,-0.00832040490252575,-0.0397475784052814,-0.0531350925246809,-0.0697057055059184
-0.24,-0.00772695466175849,-0.0396649094285434,-0.0531304094700579,-0.0697790083734104
-0.23,-0.00715060673371166,-0.0395859737493054,-0.0531262766140732,-0.0698496783406789
-0.22,-0.00659195285646462,-0.0395107264858737,-0.0531226490750328,-0.0699176705260298
-0.21,-0.00605158667795757,-0.0394391246664134,-0.053119483881102,-0.0699829419576286
-0.2,-0.00553010375599395,-0.0393711272289494,-0.0531167399703056,-0.0700454515734999
-0.19,-0.00502810155824656,-0.0393066950213655,-0.0531143781905276,-0.0701051602215277
-0.18,-0.00454617946227335,-0.0392457908014052,-0.0531123612995113,-0.0701620306594554
-0.17,-0.00408493875555751,-0.039188379236671,-0.0531106539648593,-0.0702160275548855
-0.16,-0.0036449826356094,-0.0391344269046249,-0.0531092227640335,-0.07026711748528
-0.15,-0.00322691621022379,-0.0390839022925882,-0.0531080361843553,-0.0703152689379603
-0.14,-0.0028313464981258,-0.0390367757977415,-0.0531070646230052,-0.0703604523101069
-0.13,-0.0024588824305815,-0.0389930197271245,-0.0531062803870231,-0.0704026399087596
-0.12,-0.00211013485538118,-0.0389526082976367,-0.0531056576933083,-0.0704418059508177
-0.11,-0.00178571654659371,-0.0389155176360365,-0.0531051726686192,-0.0704779265630398
-0.1,-0.00148624222816379,-0.0388817257789418,-0.0531048033495738,-0.0705109797820436
